brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
blue buffalo,0%,368/100g,45%,15%,7%,33%,0.0%,41.0%,14.0%,6.0%,9.0%,30.0%,"Whitefish,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Tapioca Starch,Peas,Pea Protein Concentrate,Canola Oil (source of Omega 6 Fatty Acids),Pea Fiber,Natural Flavor,Potatoes,Calcium Carbonate,Fish Oil (source of Omega 3 Fatty Acids),Choline Chloride,Salt,DL-Methionine,Potassium Chloride,Pumpkin,Dried Chicory Root,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potato Starch,Taurine,Caramel Color,Dehydrated Alfalfa Meal,Vitamin E Supplement,Mixed Tocopherols (a natural preservative),L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Yucca Schidigera Extract,Dried Kelp,Turmeric,Ferrous Sulfate,Nicotinic Acid (Vitamin B3),Iron Amino Acid Chelate,Oil of Rosemary,L-Carnitine,L-Lysine,Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite.",[2],Basics Grain-Free Indoor Fish & Potato Recipe,[1],"whitefish,menhaden fish meal,fish oil","whitefish,menhaden fish meal","tapioca starch,potato starch"
blue buffalo,0%,368/100g,45%,15%,7%,33%,0.0%,41.0%,14.0%,6.0%,9.0%,30.0%,"Deboned Duck,Duck Meal,Pea Protein Concentrate,Tapioca Starch,Peas,Canola Oil (source of Omega 6 Fatty Acids),Pea Fiber,Natural Flavor,Potatoes,Fish Oil (source of Omega 3 Fatty Acids),Calcium Carbonate,Salt,DL-Methionine,Choline Chloride,Potassium Chloride,Pumpkin,Dried Chicory Root,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potato Starch,Taurine,Caramel Color,Dehydrated Alfalfa Meal,Vitamin E Supplement,Mixed Tocopherols (a natural preservative),L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Zinc Amino Acid Chelate,Zinc Sulfate,Blueberries,Cranberries,Barley Grass,Parsley,Yucca Schidigera Extract,Dried Kelp,Turmeric,Ferrous Sulfate,Nicotinic Acid (Vitamin B3),Iron Amino Acid Chelate,Oil of Rosemary,L-Carnitine,L-Lysine,Thiamine Mononitrate (Vitamin B1),Copper Sulfate,Biotin (Vitamin B7),Vitamin A Supplement,Copper Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Manganese Sulfate,Manganese Amino Acid Chelate,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Calcium Iodate,Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Sodium Selenite.",[3],Basics Grain-Free Duck & Potato Recipe,[1],fish oil,"deboned duck,duck meal","tapioca starch,potato starch"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Turkey,Chicken Liver,Dried Egg,Potato Starch,Natural Flavor,Guar Gum,Sodium Phosphate,Salt,Calcium Carbonate,Carrageenan,Potassium Chloride,Taurine,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Minced Chicken & Turkey Recipe,[3],dried egg,"chicken,turkey,chicken liver","potato starch,guar gum,carrageenan"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Trout,Chicken Liver,Dried Egg,Potato Starch,Natural Flavor,Guar Gum,Calcium Carbonate,Sodium Phosphate,Salt,Potassium Chloride,Carrageenan,Taurine,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9)",[3],Wilderness Wild Delights Minced Chicken & Trout Recipe,[3],"trout,dried egg","chicken,trout,chicken liver","potato starch,guar gum,carrageenan"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Trout,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Guar Gum,Sodium Phosphate,Potassium Chloride,Salt,Calcium Carbonate,Taurine,Choline Chloride,Thiamine Mononitrate (Vitamin B1),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Meaty Morsels Chicken & Trout Recipe,[3],"trout,dried egg product","chicken,trout,chicken liver","potato starch,guar gum"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Salmon,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Guar Gum,Sodium Phosphate,Calcium Carbonate,Potassium Chloride,Taurine,Salt,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Meaty Morsels Chicken & Salmon Recipe,[3],"salmon,dried egg product","chicken,salmon,chicken liver","potato starch,guar gum"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Turkey,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Sodium Phosphate,Calcium Carbonate,Salt,Guar Gum,Carrageenan,Potassium Chloride,Taurine,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Flaked Chicken & Turkey Recipe,[3],dried egg product,"chicken,turkey,chicken liver","potato starch,guar gum,carrageenan"
blue buffalo,0%,80/100g,14%,25%,8%,53%,0.0%,2.5%,4.5%,1.5%,82.0%,9.5%,"Chicken,Chicken Broth,Water,Trout,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Guar Gum,Sodium Phosphate,Salt,Potassium Chloride,Calcium Carbonate,Taurine,Carrageenan,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Magnesium Sulfate,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Flaked Chicken & Trout For Kittens,[4],"trout,dried egg product","chicken,trout,chicken liver","potato starch,guar gum,carrageenan"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Trout,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Sodium Phosphate,Salt,Guar Gum,Carrageenan,Potassium Chloride,Taurine,Choline Chloride,Calcium Carbonate,Thiamine Mononitrate (Vitamin B1),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Wild Delights Flaked Chicken & Trout Recipe,[3],"trout,dried egg product","chicken,trout,chicken liver","potato starch,guar gum,carrageenan"
blue buffalo,0%,78/100g,19%,22%,8%,50%,0.0%,3.5%,4.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Water,Turkey,Chicken Liver,Dried Egg Product,Potato Starch,Natural Flavor,Guar Gum,Sodium Phosphate,Potassium Chloride,Taurine,Salt,Choline Chloride,Calcium Carbonate,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[4],Wilderness Wild Delights Chicken & Turkey Recipe,[3],dried egg product,"chicken,turkey,chicken liver","potato starch,guar gum"
blue buffalo,0%,117/100g,7%,41%,7%,45%,0.0%,1.5%,9.0%,1.5%,78.0%,10.0%,"Salmon,Fish Broth,Chicken Liver,Natural Flavor,Potatoes,Guar Gum,Flaxseed,Carrageenan,Potassium Chloride,Cassia Gum,Taurine,Salt,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Choline Chloride,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Salmon Recipe,[4],"salmon,fish broth","salmon,chicken liver","guar gum,carrageenan"
blue buffalo,0%,107/100g,14%,32%,7%,48%,0.0%,3.0%,7.0%,1.5%,78.0%,10.5%,"Salmon,Chicken,Fish Broth,Chicken Liver,Pea Flour,Natural Flavor,Guar Gum,Fish Oil (source of DHA-Docosahexaenoic Acid),Flaxseed,Potassium Chloride,Taurine,Salt,Dried Potato,Choline Chloride,Carrageenan,Cassia Gum,Magnesium Sulfate,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),preserved with Mixed Tocopherols.",[2],Wilderness Salmon Recipe For Kittens,[3],"salmon,fish broth,fish oil","salmon,chicken,chicken liver","pea flour,guar gum,carrageenan"
blue buffalo,0%,99/100g,23%,25%,7%,45%,0.0%,5.0%,5.5%,1.5%,78.0%,10.0%,"Trout,Whitefish,Fish Broth,Chicken Liver,Fish Oil,Natural Flavor,Potatoes,Guar Gum,Flaxseed,Potassium Chloride,Taurine,Salt,Carrageenan,Cassia Gum,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),preserved with Mixed Tocopherols.",[3],Wilderness Rocky Mountain Recipe Trout Feast,[3],"trout,whitefish,fish broth,fish oil","trout,whitefish,chicken liver","guar gum,carrageenan"
blue buffalo,0%,112/100g,11%,36%,7%,45%,0.0%,2.5%,8.0%,1.5%,78.0%,10.0%,"Beef,Turkey,Beef Broth,Chicken Liver,Potatoes,Venison,Lamb,Natural Flavor,Flaxseed,Guar Gum,Salt,Potassium Chloride,Taurine,Carrageenan,Choline Chloride,Cassia Gum,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[4],Wilderness Rocky Mountain Recipe Red Meat Feast,[4],"beef,beef broth,lamb","beef,turkey,chicken liver,venison,lamb","guar gum,carrageenan"
blue buffalo,0%,73/100g,25%,17%,8%,50%,0.0%,4.5%,3.0%,1.5%,82.0%,9.0%,"Trout,Chicken Broth,Water,Chicken Liver,Whitefish,Chicken,Dried Egg Product,Potato Starch,Natural Flavor,Calcium Carbonate,Tricalcium Phosphate,Sodium Phosphate,Guar Gum,Flaxseed,Potassium Chloride,Fish Oil,Carrageenan,Taurine,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9) preserved with Mixed Tocopherols.",[3],Wilderness Rocky Mountain Recipe Flaked Trout Feast,[4],"trout,whitefish,dried egg product,fish oil","trout,chicken liver,whitefish,chicken","potato starch,guar gum,carrageenan"
blue buffalo,0%,80/100g,17%,25%,8%,50%,0.0%,3.0%,4.5%,1.5%,82.0%,9.0%,"Beef,Chicken Broth,Water,Turkey,Chicken Liver,Dried Egg Product,Potato Starch,Venison,Lamb,Natural Flavor,Calcium Carbonate,Sodium Phosphate,Salt,Guar Gum,Flaxseed,Taurine,Potassium Chloride,Fish Oil,Carrageenan,Choline Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),preserved with Mixed Tocopherols.",[4],Wilderness Rocky Mountain Recipe Flaked Red Meat Feast,[3],"beef,dried egg product,lamb,fish oil","beef,turkey,chicken liver,venison,lamb","potato starch,guar gum,carrageenan"
blue buffalo,0%,109/100g,14%,34%,7%,45%,0.0%,3.0%,7.5%,1.5%,78.0%,10.0%,"Turkey,Chicken,Turkey Broth,Turkey Liver,Quail,Duck,Potatoes,Natural Flavor,Flaxseed,Guar Gum,Potassium Chloride,Taurine,Choline Chloride,Cranberries,Carrageenan,Cassia Gum,Magnesium Sulfate,Salt,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9)",[4],"Wilderness Flatland Feast With Turkey, Quail & Duck",[4],,"turkey,chicken,turkey liver,quail,duck","guar gum,carrageenan"
blue buffalo,0%,117/100g,7%,41%,7%,45%,0.0%,1.5%,9.0%,1.5%,78.0%,10.0%,"Duck,Turkey Broth,Chicken Liver,Potatoes,Natural Flavor,Guar Gum,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potassium Chloride,Taurine,Carrageenan,Cassia Gum,Salt,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Choline Chloride,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Duck Recipe,[4],,"duck,chicken liver","guar gum,carrageenan"
blue buffalo,0%,107/100g,16%,32%,7%,45%,0.0%,3.5%,7.0%,1.5%,78.0%,10.0%,"Turkey,Turkey Broth,Salmon,Turkey Liver,Venison,Halibut,Potatoes,Flaxseed,Natural Flavor,Guar Gum,Potassium Chloride,Taurine,Choline Chloride,Cranberries,Carrageenan,Cassia Gum,Magnesium Sulfate,Salt,Thiamine Mononitrate (Vitamin B1),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9)",[4],"Wilderness Denali Dinner With Wild Salmon, Venison & Halibut",[3],salmon,"turkey,salmon,turkey liver,venison","guar gum,carrageenan"
blue buffalo,0%,98/100g,30%,25%,9%,36%,0.0%,6.5%,5.5%,2.0%,78.0%,8.0%,"Chicken,Chicken Broth,Chicken Liver,Potatoes,Pea Protein,Natural Flavor,Pea Fiber,Flaxseed (source of Omega 3 and 6 Fatty Acids),Fish Oil (source of Omega 3 Fatty Acids),Guar Gum,Potassium Chloride,Taurine,Choline Chloride,Carrageenan,Cassia Gum,Salt,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Mixed Tocopherols,L-Carnitine,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Chicken Recipe For Mature Cats,[3],fish oil,"chicken,chicken liver","guar gum,carrageenan"
blue buffalo,0%,117/100g,5%,41%,7%,48%,0.0%,1.0%,9.0%,1.5%,78.0%,10.5%,"Chicken,Chicken Broth,Salmon Oil (source of DHA-Docosahexaenoic Acid),Potatoes,Guar Gum,Flaxseed,Potassium Chloride,Taurine,Natural Flavor,Carrageenan,Cassia Gum,Choline Chloride,Magnesium Sulfate,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),preserved with Mixed Tocopherols.",[2],Wilderness Chicken Recipe For Kittens,[4],salmon oil,chicken,"guar gum,carrageenan"
blue buffalo,0%,112/100g,11%,36%,7%,45%,0.0%,2.5%,8.0%,1.5%,78.0%,10.0%,"Chicken,Chicken Broth,Chicken Liver,Potatoes,Natural Flavor,Flaxseed,Guar Gum,Potassium Chloride,Carrageenan,Cassia Gum,Taurine,Choline Chloride,Salt,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness Chicken Recipe,[4],,"chicken,chicken liver","guar gum,carrageenan"
blue buffalo,0%,117/100g,7%,41%,7%,45%,0.0%,1.5%,9.0%,1.5%,78.0%,10.0%,"Turkey,Turkey Broth,Turkey Liver,Natural Flavor,Potatoes,Guar Gum,Flaxseed (source of Omega 3 and 6 Fatty Acids),Potassium Chloride,Carrageenan,Cassia Gum,Taurine,Iron Amino Acid Chelate,Salt,Choline Chloride,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Wilderness - Turkey Turkey Recipe,[4],,"turkey,turkey liver","guar gum,carrageenan"
blue buffalo,0%,76/100g,32%,11%,18%,39%,0.0%,7.0%,2.5%,4.0%,78.0%,8.5%,"Chicken,Chicken Broth,Chicken Liver,Water,Pea Protein,Powdered Cellulose,Potatoes,Whitefish,Carrots,Natural Flavor,Calcium Sulfate,Flaxseed,Taurine,Betaine Anhydrous,Potassium Chloride,Guar Gum,Blueberries,Cranberries,Carrageenan,Choline Chloride,Salt,DL-Methionine,L-Carnitine,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Niacin Supplement (Vitamin B3),Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Vitamin A Supplement,Biotin (Vitamin B7),Potassium Iodide,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9).",[3],Natural Veterinary Diet W+U Weight Management + Urinary Care,[2],whitefish,"chicken,chicken liver,whitefish","guar gum,carrageenan"
